"White Albacore Tuna",/ip/Bumble-Bee-Solid-White-Albacore-Tuna-in-Water-12oz-High-Protein-Food-or-Snacks/10309536
"Mandarin Oranges",/ip/Dole-Mandarin-Oranges-in-100-Fruit-Juice-Jarred-Oranges-23-5-Oz-Plastic-Jar/10304408
"SpaghettiOs Original",/ip/Campbell-s-SpaghettiOs-Original-15-8-oz-Can-Pack-of-4/176956371
"Chunk Tuna",/ip/4-Cans-Great-Value-Chunk-Light-Tuna-in-Water-5-oz/33867594
"Pineapple",/ip/Dole-Crushed-Pineapple-in-100-Pineapple-Juice-Canned-Pineapple-20-Oz/10304331
"Chunk Chicken Breast",/ip/Great-Value-Low-Sodium-Chunk-Chicken-Breast-12-5-oz/42613740
"Sliced Peaches",/ip/Del-Monte-Sliced-Peaches-20-oz/10295101
"Black Beans",/ip/Bush-s-Canned-Black-Beans-Plant-Based-Protein-26-5-oz/19593707
"Bacon SPAM",/ip/SPAM-with-Real-Hormel-Bacon-12-Ounce-Can/10311793
"Kernel Corn",/ip/Del-Monte-Fresh-Cut-Golden-Sweet-Whole-Kernel-Corn-No-Salt-Added-15-25-oz-canned-corn/10295219
"Clam Chowder Soup",/ip/Progresso-Traditional-New-England-Clam-Chowder-Soup/10320603
"Beef Ravioli",/ip/Chef-Boyardee-Beef-Ravioli-15-oz-4-Pack/10308588
"Chopped Clams",/ip/Bumble-Bee-Snow-s-Chopped-Clams-6-5-oz-Can/10294375
"Teriyaki Spam",/ip/SPAM-Teriyaki-canned-meat-12-oz/35326012
"Mango Slices",/ip/Dole-Mango-Slices-in-Heavy-Syrup-15-5-oz-Canned-Fruit/27441061
"Letter Spaghettios",/ip/Campbell-s-SpaghettiOs-Canned-Pasta-A-to-Z-Shapes-with-Meatballs-15-6-Oz-Can/198332351
"Sardines",/ip/Season-Imported-Sardines-in-Pure-Olive-Oil-Skinless-Boneless-Salt-Added-4-375-OZ/39844754
"Canned Chicken Breast",/ip/Valley-Fresh-Organic-Canned-Chicken-Breast-with-Rib-Meat-in-Water-5-Ounce/10309223
"Sweet Potatoes",/ip/Bruce-s-Yams-Cut-Sweet-Potatoes-in-Syrup-40-oz/10290902
"Yellow Peaches",/ip/Dole-Yellow-Cling-Sliced-Peaches-in-100-Fruit-Juice-Jarred-Peaches-23-5-Oz/10304407
"Roast Beef",/ip/Great-Value-Fully-Cooked-Roast-Beef-12-oz/40975805
"White and Dark Chicken",/ip/Valley-Fresh-100-Natural-White-and-Dark-Canned-Chicken-in-Broth-10-Ounce/10309221
"Spam Lite",/ip/Spam-Lite-12-Ounce-Can-lunch-meat-with-less-calories-fat-and-sodium/10290937
"Meatball Spaghettios",/ip/Campbell-s-SpaghettiOs-Canned-Pasta-with-Meatballs-22-2-oz-Can/37700404
"Baked Beans",/ip/Bush-s-Homestyle-Baked-Canned-Beans-55-Oz/19593703
"Beef Stew",/ip/Dinty-Moore-Beef-Stew-15-Ounce-Can/10290959
"Peeled Tomatoes",/ip/Cento-San-Marzano-Peeled-Tomatoes-28-Oz/15716659
"Light Tuna",/ip/StarKist-Chunk-Light-Tuna-in-Water-12-oz-Can/10293459
"Peaches in Strawberry Gel",/ip/Dole-Fruit-Bowls-Peaches-in-Strawberry-Gel-4-3-Oz-Bowls-4-Cups-of-Fruit/10304401
"Mexican Hominy",/ip/Juanita-s-Foods-Mexican-Style-Hominy-2-97-kg/10453028
"Sardines",/ip/Bumble-Bee-Sardines-in-Water-Canned-Food-Gluten-Free-Snacks-High-Protein-Snacks-3-75oz-can/10309576
"Smoked Ham",/ip/Hormel-Canned-Chunk-Smoked-Ham-5-oz/10447801
"Mini Ravioli",/ip/Chef-Boyardee-Mini-Ravioli-15-oz/10308534
"Sweet Peas",/ip/Great-Value-Sweet-Peas-15-oz/10451509
"Sliced Carrots",/ip/Great-Value-Sliced-Carrots-14-5-oz/10451497
"Spinach",/ip/Glory-Foods-Seasoned-Southern-Style-Spinach-27-oz/10532913
"Refried Beans",/ip/Great-Value-Traditional-Refried-Beans-16-oz/10534037
"Crushed Tomatoes",/ip/Great-Value-Crushed-Tomatoes-with-Tomato-Puree-28-oz/10415230
"Chicken Noodle Soup",/ip/Great-Value-Chicken-Noodle-Canned-Soup-Family-Size-26-oz/10315177
"Turnip Greens",/ip/Glory-Foods-Seasoned-Southern-Style-Turnip-Greens-With-Diced-Turnips-27-Oz/10532983
"Pork & Beans",/ip/Campbell-s-Canned-Beans-Pork-Beans-11-oz-Can/10321364
"Macaroni & Beef",/ip/Great-Value-Macaroni-Beef-15-oz/10315143
"Collard Greens",/ip/Glory-Foods-Seasoned-Southern-Style-Smoked-Turkey-Flavored-Collard-Greens-14-5-oz/20567620
"Diced Potatoes",/ip/Great-Value-Diced-Potatoes-15-oz/10451499
"Green Beans",/ip/Glory-Foods-Seasoned-Southern-Style-Green-Beans-27-oz/19400323
"Can of Ham",/ip/Hormel-Foods-BLACK-LABEL-Can-Ham-48-oz/10290954
"Diced Peaches",/ip/3-Pack-Great-Value-Diced-Peaches-4-oz-4-Count/741798778
"Diced Tomatoes",/ip/Great-Value-Diced-Tomatoes-in-Tomato-Juice-28-oz/10415151
"Tomatoes and Chilies",/ip/RO-TEL-Original-Diced-Tomatoes-and-Green-Chilies-10-Ounce/10308581
"Chicken and Dumpling",/ip/Dinty-Moore-Chicken-and-Dumpling-20-Ounce-Can/10290997
"Mac and Cheese",/ip/Chef-Boyardee-Mac-and-Cheese-15-oz/10308529
"Sliced Beets",/ip/Great-Value-Pickled-Sliced-Beets-14-5-Oz/10315845
"Beans with Potatoes",/ip/Glory-Foods-Seasoned-Southern-Style-Green-Beans-with-Potatoes-29-oz/10532984
